文本行,单复数结果,特指泛指结果,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
不 想 挨 * 枪子儿 * 就 乖乖 退后,单数,泛指,F,T,T
布莱恩 这 好像 是 * 杀死 玛丽 的 武器 *,单数,特指,T,T,T
有 了 * 它 还有 你 的 录音 *,复数,特指,F,T,T
斯 博 需要 * 个 新 副总了 *,单数,泛指,F,T,T
多谢 你 的 * 警棍 *,单数,特指,T,T,T
布莱恩·麦肯锡 你 有 权 保持 * 沉默 *,复数,特指,T,T,T
* 我们 合作 的 * 挺 不错,单数,泛指,T,F,T
是 啊 办案 的 时候 可 * 案子 * 已经 结了,单数,特指,T,F,T
所以 你 不 是 * 我 的 头儿 * 了,单数,特指,T,T,T
当 * 朋友 *,复数,泛指,T,T,T
* 朋友 * 对,复数,泛指,T,T,T
* 朋友 * 偶尔 会 出来 聚聚,复数,泛指,T,T,T
* 你 爸 * 在 沙发 上 睡着了,单数,特指,T,T,T
你 爸 在 * 沙发 * 上 睡着了,单数,特指,T,T,T
你 没 得到 想要 的 * 生日礼物 *,单数,特指,T,T,T
* 亲爱的 * 没事,单数,泛指,T,T,T
* 我 父母 * 只 是 想 体贴 点,复数,特指,T,T,T
我 知道 * 你 的 礼物 * 我 一定 喜欢,单数,特指,T,T,T
你 总是 忙着 给 * 别人 * 策划 晚宴 也 该 别人 为 你 准备 一 次 了,复数,泛指,T,T,T
你 总是 忙着 给 别人 策划 晚宴 也 该 * 别人 * 为 你 准备 一 次 了,单数,泛指,T,T,T
你 总是 忙着 给 别人 策划 * 晚宴 * 也 该 别人 为 你 准备 一 次 了,复数,泛指,T,T,T
亲爱 的 这 是 * 我 的 礼物 *,单数,特指,T,T,T
* 亲爱 的 这 * 是 我 的 礼物,单数,泛指,F,T,T
* 一 位 智者 * 说过 ` ` 保留 成长 的 痕迹 是 最 美好 的 ' ',单数,泛指,T,T,T
一 位 * 智者 * 说过 ` ` 保留 成长 的 痕迹 是 最 美好 的 ' ',复数,特指,T,T,T
从 * 我 第一 个 家 *,单数,特指,T,T,T
到 * 第二 个 家 *,复数,特指,T,T,T
我们 活着 就是 为了 让 * 女儿 * 高兴,单数,特指,T,T,T
我 也 是 * 先生 *,单数,泛指,T,T,T
* 生日 * 快乐,单数,泛指,T,T,T
* 联调 局 * 是 我 的 家,单数,特指,T,T,T
联调 局 是 * 我 的 家 *,单数,特指,T,T,T
没 * 人 * 想 失去 家,单数,泛指,T,T,T
没 人 想 失去 * 家 *,单数,特指,T,T,T
你 想说 * 什么 克雷默 探员 *,单数,泛指,F,T,F
看了 * 这些 档案 * 我 发现,复数,特指,T,T,T
* 什么 * 都 查 不出,单数,泛指,T,F,T
猫 鼠 游戏 第一 * 季 *,单数,特指,T,T,T
只 卖 * 5 块 钱 * 伙计,复数,特指,T,T,T
* 先生 *,单数,泛指,T,T,T
谢谢 * 先生 *,单数,泛指,T,T,T
我 花 了 无数 时间 差点 就 逮住 这个 * 荷兰人 * 了 而 你们 却 把 证据 给 炸 了,单数,特指,T,T,T
我 花 了 无数 时间 差点 就 逮住 这个 荷兰人 了 而 你们 却 把 * 证据 * 给 炸 了,单数,特指,T,T,T
* 博尔克 探员 * 你 怎么 知道 会 这样,单数,泛指,T,T,F
看看 * 你们 的 手机 *,复数,特指,T,T,T
对 * 联邦 调查局 *,单数,泛指,T,T,F
* 谁 * 能 告诉 我 这 是 什么 有 人 知道 吗,单数,泛指,T,T,T
* 没人 * 知道 吗 很好,单数,泛指,T,T,T
显然 * 我们 要找 的 人 * 很 有 幽默感,单数,特指,T,F,T
显然 我们 要找 的 人 很 有 * 幽默感 *,单数,泛指,T,T,T
* 联邦 执法局 * 要求 你 帮忙,复数,泛指,T,T,T
* 博尔克 探员 *,单数,泛指,T,T,F
我 是 * 汤普森 联邦 指挥官 *,单数,特指,T,T,T
感谢 你 的 * 帮忙 * 你 曾 是 这个 案件 的 探员,单数,特指,T,T,T
那 你 会 赞成 这 次 的 * 情况 * 非同 寻常 吧,单数,泛指,T,T,T
四 年 刑的 刑期 还有 * 三 个 月 * 就 满了,复数,特指,T,T,T
这 是 * 联邦 调查局 的 博尔克 探员 *,单数,泛指,T,T,F
这 是 * 联邦 调查局 * 的 博尔克 探员,单数,泛指,T,F,F
所有 人 中 你 该 最 了解 * 尼尔·卡夫瑞 的 能耐 *,单数,泛指,T,T,T
* 所有 人 * 中 你 该 最 了解 尼尔·卡夫瑞 的 能耐,复数,泛指,T,T,T
我 知道 的 是 我 花了 * 三 年 时间 * 追捕 他,复数,特指,T,T,T
而 你 却 让 他 从 * 大门 * 堂而皇之 的 走了 出去,单数,特指,T,T,T
* 先生们 * 我 是 不 是 该 提醒 你们 一下,复数,泛指,T,T,T
卡夫瑞 已经 逃走 * 4 小时 * 了,单数,泛指,T,F,T
卡夫瑞 扮成 警卫 从 * E区 人员 的 浴室 * 出来,单数,特指,T,T,T
卡夫瑞 扮成 * 警卫 * 从 E区 人员 的 浴室 出来,单数,泛指,T,T,T
他 哪 来 的 * 制服 *,单数,特指,T,T,T
* 网上 的 制服 * 定做 公司,单数,泛指,T,F,T
他 有 * 信用卡 *,单数,泛指,T,T,T
他 用 了 * 我 太太 的 美国 运通 卡 *,单数,特指,T,T,T
* 他 怎么 弄到 大门 的 钥匙 卡 * 的,复数,特指,F,T,T
我们 认为 他 重构 了 公用 卡 使用 了 卡上 的 原有 * 记录 *,单数,特指,T,T,T
你们 应该 给 他 * CD 播放器 * 的,单数,泛指,T,T,T
他 走出 * 前门 * 在 停车场 偷 了 辆 维修 车,单数,特指,T,T,T
他 走出 前门 在 停车场 偷 了 辆 维修 * 车 *,单数,泛指,T,T,T
他 走出 前门 在 * 停车场 * 偷 了 辆 维修 车,单数,特指,T,T,T
我们 在 * 机场 * 发现 了 遗弃 的 卡车,单数,特指,T,T,T
我们 提高 了 * 安全 等级 * 以防 他 乘 飞机 逃走,单数,泛指,T,T,T
他 逃走 之前 剃 了 * 胡子 *,单数,特指,T,T,T
尼尔 没有 * 胡子 *,单数,泛指,T,T,T
* 囚犯 * 每 天 早晨 离开 牢房 都 有 图像 记录,复数,特指,T,T,T
囚犯 * 每 天 早晨 * 离开 牢房 都 有 图像 记录,单数,泛指,T,T,T
囚犯 每 天 早晨 离开 * 牢房 * 都 有 图像 记录,复数,特指,T,T,T
我 想 这 才 是 * 重点 *,单数,特指,T,T,T
这 是 * 今 * 早的,单数,特指,T,T,T
我 要 知道 * 那天 发生 的 每 一 件 事 *,单数,特指,T,T,T
没 * 声音 * 吗,单数,泛指,T,T,T
她 很 有 * 规律 每 周 都来 *,单数,泛指,F,T,T
她 很 有 * 规律 * 每 周 都来,单数,泛指,T,T,T
她 对于 * 这 次 探访 * 并不 激动,单数,特指,T,T,T
我们 多久 才 能 找来 会 读 * 唇语 * 的 人,单数,泛指,T,T,F
* 这 瓶子 * 就是 留言,单数,特指,T,T,T
已经 有 * 一 段 时间 * 了吧,单数,泛指,T,T,T
他们 问 我 像 你 这样 的 * 人 *,单数,泛指,T,T,T
` ` 案例 法 ' ' 中 有 * 先例 * 的,单数,泛指,T,F,T
有 * 全球 定位 脚链 * 呢,复数,泛指,T,T,F
熄灯 * 波 * 比 把 灯 关了,单数,特指,T,T,T
再给 我 * 一 分钟 行吗 波比 *,单数,特指,T,T,T
再给 我 一 分钟 * 行吗 波比 *,单数,特指,T,T,T
已经 * 半夜 * 了 吗,单数,泛指,T,T,T
你 * 今晚 * 来 睡觉 吗,单数,泛指,T,T,T
他 * 今天 * 越狱 了,单数,泛指,T,T,T
你 在 考虑 * 他 提 的 条件 * 吗,单数,特指,T,T,T
肯定 是 不然 你 现在 应该 跟我 在 * 床上 *,单数,泛指,T,F,T
他 和 * 你 身边 那些 常春藤 高材生 * 一 样 聪明 吗,复数,泛指,F,T,T
他 几乎 和 * 我 娶 的 女人 * 一样 聪明,单数,特指,T,T,T
那 到底 有 什么 * 问题 *,单数,特指,T,F,F
你 一旦 被 抓 就 得 蹲 * 监狱 *,单数,特指,T,T,T
这 次 不 只 是 为了 * 失去 的 挚爱 * 这么 简单,单数,泛指,T,T,T
你 是 说 他 从 * 一 间 最高 戒备 的 监狱 * 越狱 完全 明白 会 被 你 逮住,单数,泛指,T,T,F
很 有 * 道理 *,复数,泛指,T,T,T
尼尔 为 自己 讨 来 了 * 四 年 的 追加 刑期 * 为了 什么,复数,特指,T,T,T
尼尔 为 自己 讨 来 了 四 年 的 * 追加 刑期 * 为了 什么,单数,泛指,T,T,T
` ` 为了 * 什么 ' ' *,复数,泛指,T,T,T
明白 我 在 * FBI 的 监管 * 下 被 释放,单数,特指,T,T,T
我 说 了 * 那个 瓶子 * 意味 着 再见,单数,特指,T,T,T
我 说 了 那个 瓶子 意味 着 * 再见 *,复数,泛指,T,T,T
只要 抓住 * 荷兰人 * 就 能 正式 录用 你,单数,特指,T,T,T
* 你 的 新 家 *,单数,特指,T,T,T
给 你 * 蛇 * 眼 小弟 &#91 ; ` ` 特种 部队 ' ' 里 的 角色 &#93 ;,单数,泛指,T,T,T
给 你 蛇 * 眼 小弟 * &#91 ; ` ` 特种 部队 ' ' 里 的 角色 &#93 ;,复数,泛指,T,T,T
你 在 监狱 里 的 月 开销 是 每 * 月 * 700 美元,单数,泛指,T,T,T
那 * 衣服 * 呢 我 只有 身上 这 一 套 衣服,复数,泛指,T,T,T
反正 你 喜欢 旧 * 货铺 *,复数,泛指,T,T,T
* 街区 尽头 * 就 有 一 家,单数,特指,T,T,T
在 * 监狱 * 里 可 看 不 到 女人 吧 当然 看 不 到,单数,泛指,T,T,F
所以 你 只 能 在 * 方圆 两 英里 范围 * 内 活动,复数,特指,T,T,T
* 来 你 的 作业 *,单数,特指,F,T,T
记住 只 有 * 两 英 * 里,复数,特指,T,T,T
* 明早 7点 * 见,复数,特指,T,T,T
我 来捐 * 这些 东西 *,复数,特指,T,T,T
一些 * 男士 西装 *,复数,泛指,T,T,T
他 的 * 穿衣 品味 * 真的 很 棒,单数,泛指,T,T,T
这 是 * 德 沃尔 牌 * 的 ( 好莱坞 著名 服装 设计师 ),单数,泛指,T,T,F
* 他 靠后 门 * 听 牌 赢 了 他,单数,泛指,T,T,T
* 你 丈夫 * 和 赛·德沃尔 一起 玩牌,复数,特指,T,T,T
* 那些 人 * 有时 还 让 我 上手 玩 几 圈 呢,复数,特指,T,T,F
那些 人 有时 还 让 我 上手 玩 几 * 圈 * 呢,单数,泛指,T,T,T
我 一直 期望 有 这么 * 个人 *,单数,泛指,T,T,T
这样 的 衣服 我 有 * 一 柜子 *,单数,泛指,T,T,T
* 一 柜子 * ?,单数,泛指,T,T,T
没错 其实 是 间 * 客房 * 但 我 几 年 没 用 过 了 只 用来 储存 些 东西,单数,泛指,T,T,T
没错 其实 是 间 客房 但 我 几 年 没 用 过 了 只 用来 储存 些 * 东西 *,单数,泛指,T,F,T
当时 的 * 邻居 * 只 能 说人 更 好 一点 吧,单数,特指,T,T,T
我 * 来找卡夫瑞 * 11 号房,单数,泛指,T,T,F
* 蛇 眼 小弟 *,复数,泛指,T,T,T
* 人 * 很 不错,单数,泛指,T,T,T
亲爱 的 彼得 我 搬去 了 * 1.6 英里 外 的 *,单数,泛指,F,T,T
就 * 连 咖啡 * 也 好喝 得 要命,单数,特指,T,T,T
要 知道 * 他 脚踝 上 的 可不是 什么 首饰 *,单数,泛指,F,T,T
他 是 * 个 重罪犯 *,单数,泛指,T,T,F
你 看起来 像 位 * 卡通 人物 *,单数,泛指,T,F,F
这 是 * 鼠 帮 乐队 的 经典 造型 *,单数,泛指,T,T,T
这 是 * 德 沃尔 牌 * 的,单数,泛指,T,T,F
对不起 了 * 流浪汉 *,单数,泛指,T,T,T
别 再 弄 你 的 * 帽子 * 了 行吗,单数,特指,T,T,T
告诉 我 我 犯了 哪 条 规定 我 会 自己 回去 * 监狱 * 里 呆 着 去,单数,泛指,T,T,F
而 我 却 没有 * 一 套 值 一千万 的 公寓 *,单数,泛指,T,T,T
还 可以 在 * 喝 意大利 咖啡 的 时候 *,单数,泛指,T,T,T
欣赏 一 位 二十二 岁 的 * 艺术系 学生 *,单数,泛指,T,T,T
我 做 的 那些 工作 是 要 换回 * 现实 的 东西 * 的,复数,泛指,T,T,T
* 我 做 的 那些 工作 * 是 要 换回 现实 的 东西 的,单数,泛指,T,T,T
而 不 是 * 云中 的 卡布其诺 *,单数,泛指,T,T,T
我 会 闻 清楚 琼 在 哪里 买 的 * 咖啡 * 的,单数,特指,T,T,T
这 与 * 咖啡 * 无关,单数,特指,T,T,T
这 会 把 你 卷进 * 麻烦 * 里 的,单数,泛指,T,F,T
这 就 是 * 那些 毫无 意义 的 计划 * 的 开始,单数,特指,T,F,F
我 觉得 那 是 * 某 种 意大利 烘烤 咖啡 *,单数,泛指,T,T,T
戴安是 * 我 的 见探 *,单数,特指,F,T,T
见 * 探 *,单数,泛指,T,T,T
* 见习 探员 *,单数,泛指,T,F,T
