文本行,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
他 的 * 穿衣 品味 * 真的 很 棒,不正确,单数,特指
这 是 * 德 沃尔 牌 * 的 ( 好莱坞 著名 服装 设计师 ),正确,单数,特指
* 他 靠后 门 * 听 牌 赢 了 他,不正确,单数,特指
* 你 丈夫 * 和 赛·德沃尔 一起 玩牌,正确,单数,特指
* 那些 人 * 有时 还 让 我 上手 玩 几 圈 呢,正确,复数,特指
那些 人 有时 还 让 我 上手 玩 几 * 圈 * 呢,不正确,复数,泛指
我 一直 期望 有 这么 * 个人 *,不正确,单数,泛指
这样 的 衣服 我 有 * 一 柜子 *,正确,复数,泛指
* 一 柜子 * ?,正确,复数,泛指
没错 其实 是 间 * 客房 * 但 我 几 年 没 用 过 了 只 用来 储存 些 东西,正确,单数,特指
没错 其实 是 间 客房 但 我 几 年 没 用 过 了 只 用来 储存 些 * 东西 *,正确,复数,泛指
别 再 弄 你 的 * 帽子 * 了 行吗,不正确,单数,特指
告诉 我 我 犯了 哪 条 规定 我 会 自己 回去 * 监狱 * 里 呆 着 去,正确,单数,特指
而 我 却 没有 * 一 套 值 一千万 的 公寓 *,正确,单数,泛指
还 可以 在 * 喝 意大利 咖啡 的 时候 *,正确,单数,特指
欣赏 一 位 二十二 岁 的 * 艺术系 学生 *,不正确,单数,特指
我 做 的 那些 工作 是 要 换回 * 现实 的 东西 * 的,正确,复数,特指
* 我 做 的 那些 工作 * 是 要 换回 现实 的 东西 的,正确,复数,特指
而 不 是 * 云中 的 卡布其诺 *,正确,单数,泛指
我 会 闻 清楚 琼 在 哪里 买 的 * 咖啡 * 的,正确,单数,泛指
这 与 * 咖啡 * 无关,正确,单数,特指
这 会 把 你 卷进 * 麻烦 * 里 的,正确,单数,特指
这 就 是 * 那些 毫无 意义 的 计划 * 的 开始,正确,复数,特指
我 觉得 那 是 * 某 种 意大利 烘烤 咖啡 *,正确,单数,泛指
戴安是 * 我 的 见探 *,正确,单数,特指
见 * 探 *,不正确,单数,泛指
* 见习 探员 *,正确,单数,泛指
