文本行,名词短语是否判断正确?,单复数判断,特指泛指判断
没 起 * 作用 *,正确,单数,泛指
我俩 目前 * 处境 * 尴尬,正确,单数,特指
当 我 在 * 白天 * 看 着 你 时 我 想 知道 你是 怎么 想 的,正确,单数,泛指
在 * 乔治城 大学 * 若是 我们 在一起 而 不 是 和 彼得 最 多 也 就 在一起 一 周 吧,正确,单数,特指
* 9 毫米 自动 6 发 手枪 *,正确,单数,泛指
* 极轻微 的 扣动 都会 * 走火,不正确,单数,泛指
你 说 这 是 * 意外 * 走火 ?,不正确,单数,泛指
* 控方 * 是 正确 的,正确,单数,特指
* 枪击 * 的确 来自 3 呎 之外,正确,单数,特指
枪击 的确 来自 * 3 呎 * 之外,正确,复数,泛指
枪 就 在 * 你们 当事人 柜子 的 抽屉 * 里,不正确,单数,特指
* 枪 * 就 在 你们 当事人 柜子 的 抽屉 里,不正确,单数,特指
海瑟 是 * 盗贼 * 当 比 安 卡 在 卫生间 的 时候 海瑟 在 抽屉 里 找 贵重 物品 和 钱财,正确,单数,泛指
海瑟 是 盗贼 当 比 安 卡 在 * 卫生间 * 的 时候 海瑟 在 抽屉 里 找 贵重 物品 和 钱财,正确,单数,泛指
海瑟 是 盗贼 当 比 安 卡 在 卫生间 的 时候 海瑟 在 * 抽屉 * 里 找 贵重 物品 和 钱财,正确,单数,泛指
海瑟 是 盗贼 当 比 安 卡 在 卫生间 的 时候 海瑟 在 抽屉 里 找 * 贵重 物品 * 和 钱财,正确,单数,泛指
她 翻找 * 那个 放枪 的 抽屉 *,不正确,单数,特指
* 枪击 * 是 在 3 呎 之外 不过 是 垂直 射击 并非 水平,正确,单数,特指
枪击 是 在 * 3 呎 * 之外 不过 是 垂直 射击 并非 水平,正确,复数,泛指
这里 没有 * 信号 *,正确,单数,泛指
真相 的 * 优势 * 就 在于 它 是 真的 某 种 程度 上 来讲 真相 永远 更加 可信,正确,单数,泛指
真相 的 优势 就 在于 它 是 真的 * 某 种 程度 * 上 来讲 真相 永远 更加 可信,不正确,单数,泛指
真相 的 优势 就 在于 它 是 真的 某 种 程度 上 来讲 * 真相 * 永远 更加 可信,正确,单数,泛指
你 坚信 * 枪击 * 是 自己 造成 的 ?,正确,单数,特指
* 科学 事实 * 摆在 那里,正确,单数,特指
* 枪 * 是 自己 偶然 引发 的,正确,单数,特指
谢谢 * 麦克维 先生 *,正确,单数,特指
如 您 所说 * 麦克维 先生 * 起初 你 并不 愿意 上 庭 作证,正确,单数,特指
如果 你 所 说 的 顿悟 是 指 * 新 证据 *,正确,单数,特指
如果 你 所 说 的 * 顿悟 * 是 指 新 证据,正确,单数,特指
以及 * 带血 的 夹克 和 枪击 残留物 *,不正确,复数,特指
改变 * 主意 * 了 ?,正确,单数,特指
你 目前 住在 * 维斯汀 酒店 *,正确,单数,特指
替 * 另外 一 个 案子 * 作证,正确,单数,特指
* 几 名 检察官 * 看到 你,正确,复数,特指
和 * 一 名 律师 * 在 那里 见面,正确,单数,泛指
这 算 * 个 问题 * 吗,不正确,单数,泛指
* 我的 问题 * 是,正确,单数,特指
在 你 神奇 地 改变 主意 前 * 前天 晚上 *,正确,单数,特指
在 你 神奇 地 改变 * 主意 * 前 前天 晚上,正确,单数,特指
你 和 洛克 哈特 & amp ; 加德纳 律所 的 一 位 * 合伙人 *,正确,单数,特指
加德纳 先生 * 问题 * 已 被 回答,正确,单数,特指
* 加德纳 先生 * 问题 已 被 回答,正确,单数,特指
* 法官 大人 * 抱歉 不过 回答 得 过于 迅速,正确,单数,特指
晚餐 后 这 位 合伙人 戴安·洛克 哈特 去 了 * 你 在 宾馆 的 房间 * ?,不正确,单数,特指
* 晚餐 * 后 这 位 合伙人 戴安·洛克 哈特 去 了 你 在 宾馆 的 房间 ?,正确,单数,泛指
晚餐 后 这 位 * 合伙人 * 戴安·洛克 哈特 去 了 你 在 宾馆 的 房间 ?,正确,单数,特指
晚餐 后 这 位 合伙人 * 戴安·洛克 哈特 * 去 了 你 在 宾馆 的 房间 ?,正确,单数,特指
你们 发生 * 性关系 * 了 吗,正确,单数,泛指
反对 * 法官 大人 * 这 与 本案 有 什么 关联,正确,单数,特指
我 估计 * 布罗迪 先生 * 是 要说,正确,单数,特指
他 所 声称 的 性关系 才 使 * 证人 * 给出 这些 证词 对 吗 布罗迪 先生,正确,单数,特指
